martedi;mercoledi;giovedi
Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
Cremona, Palosca n. 2;Pizzighettone, Giuseppe Garibaldi, 18;Cremona, Felice Cavallotti, 2
Sospiro, Tosi;San Bassano, Mons. Frosi;Persico Dosimo, Albert ,7
Gadesco-Pieve Delmona, Giovanni Lonati 9;Paderno Ponchielli, Municipio, 3;Pescarolo ed Uniti, Giuseppe Mazzini, 73
Ostiano, Mazzini, 1;Soresina, Giacomo Matteotti, 6;Scandolara Ravara, Italia
San Giovanni in Croce, Feudatari, 25 A;Fiesco, Giuseppe Parini, 10;San Giovanni in Croce, Feudatari, 25 A
Casalmaggiore, Guglielmo Marconi, 8;Crema, Civerchi, 9;Soresina, Giacomo Matteotti, 6
Casalbuttano ed Uniti, Jacini, 23;Casaletto Vaprio, Maggiore, 7;Soncino, Dante Alighieri, 23
Grumello Cremonese ed Uniti, Roma, 2;Pandino, Castello, 15;Sergnano, IV Novembre,  10
Castelleone, Roma, 67;Vaiano Cremasco,  Gloriosi Caduti, 3;Capralba, Piave, 2
Ripalta Cremasca, Roma, 5;Casale Cremasco-Vidolasco, Roma, 56;Pandino, Castello, 15
Vailate, Dante Alighieri, 7;Manerbio, INSURREZIONE NAZIONALE;San Giovanni in Croce, Feudatari, 25 A
Offanengo, Clavelli Martini, 5;Grontardo, Roma, 16;
San Giovanni in Croce, Feudatari, 25 A;Isola Dovarese, Giacomo Matteotti, 1;
;Gussola, Comaschi, 1;
;San Giovanni in Croce, Feudatari, 25 A;
